2024-08-26T08:00:01.123+0000 I NETWORK  [initandlisten] waiting for connections on port 27017
2024-08-26T08:01:37.123+0000 I COMMAND  [conn22] command myapp.inventory command: find { supplier: "GlobalSupply", lowStockAlert: true } planSummary: IXSCAN { supplier: 1, lowStockAlert: 1 } keysExamined:200 docsExamined:200 cursorExhausted:true numYields:1 nreturned:40 reslen:20000 locks:{ Global: { acquireCount: { r: 4 } }, Database: { acquireCount: { r: 2 } }, Collection: { acquireCount: { r: 2 } } } protocol:op_msg 32ms
2024-08-26T08:01:38.456+0000 I NETWORK  [listener] connection accepted from 203.0.113.250:66677 #conn29 (16 connections now open)
2024-08-26T08:01:39.789+0000 I COMMAND  [conn29] command myapp.logs command: find { timestamp: { $gte: ISODate("2024-08-26T07:00:00Z") }, level: { $in: ["ERROR", "WARN"] } } planSummary: IXSCAN { timestamp: 1, level: 1 } keysExamined:800 docsExamined:800 cursorExhausted:true numYields:6 nreturned:120 reslen:60000 locks:{ Global: { acquireCount: { r: 14 } }, Database: { acquireCount: { r: 7 } }, Collection: { acquireCount: { r: 7 } } } protocol:op_msg 115ms
2024-08-26T08:01:40.012+0000 I COMMAND  [conn11] command myapp.users command: find { subscription.status: "active", subscription.plan: "premium" } planSummary: IXSCAN { subscription.status: 1, subscription.plan: 1 } keysExamined:500 docsExamined:500 cursorExhausted:true numYields:3 nreturned:100 reslen:50000 locks:{ Global: { acquireCount: { r: 8 } }, Database: { acquireCount: { r: 4 } }, Collection: { acquireCount: { r: 4 } } } protocol:op_msg 68ms
2024-08-26T08:01:41.345+0000 I NETWORK  [conn18] end connection 203.0.113.150:12378 (15 connections now open)
2024-08-26T08:01:42.678+0000 I NETWORK  [listener] connection accepted from 192.168.1.10:99888 #conn30 (16 connections now open)
2024-08-26T08:01:43.901+0000 I COMMAND  [conn30] command myapp.products command: find { discountPercentage: { $gt: 20 } } planSummary: IXSCAN { discountPercentage: 1 } keysExamined:300 docsExamined:300 cursorExhausted:true numYields:2 nreturned:60 reslen:30000 locks:{ Global: { acquireCount: { r: 6 } }, Database: { acquireCount: { r: 3 } }, Collection: { acquireCount: { r: 3 } } } protocol:op_msg 45ms
2024-08-26T08:01:44.234+0000 I COMMAND  [conn23] command myapp.orders command: aggregate { pipeline: [{ $match: { status: "completed" } }, { $group: { _id: { $dateToString: { format: "%Y-%m-%d", date: "$completedAt" } }, totalSales: { $sum: "$amount" }, orderCount: { $sum: 1 } } }] } planSummary: IXSCAN { status: 1 } keysExamined:5000 docsExamined:5000 cursorExhausted:true numYields:39 nreturned:30 reslen:1500 locks:{ Global: { acquireCount: { r: 80 } }, Database: { acquireCount: { r: 40 } }, Collection: { acquireCount: { r: 40 } } } protocol:op_msg 920ms
2024-08-26T08:01:45.567+0000 I NETWORK  [listener] connection accepted from 10.0.0.200:44555 #conn31 (17 connections now open)
2024-08-26T08:01:46.890+0000 I COMMAND  [conn31] command myapp.notifications command: find { type: "system", priority: "high" } planSummary: IXSCAN { type: 1, priority: 1 } keysExamined:20 docsExamined:20 cursorExhausted:true numYields:0 nreturned:5 reslen:2500 locks:{ Global: { acquireCount: { r: 2 } }, Database: { acquireCount: { r: 1 } }, Collection: { acquireCount: { r: 1 } } } protocol:op_msg 8ms
2024-08-26T08:01:47.123+0000 I COMMAND  [conn12] command myapp.analytics command: find { sessionId: "sess_12345", eventType: { $ne: "heartbeat" } } planSummary: IXSCAN { sessionId: 1, eventType: 1 } keysExamined:100 docsExamined:100 cursorExhausted:true numYields:0 nreturned:25 reslen:12500 locks:{ Global: { acquireCount: { r: 2 } }, Database: { acquireCount: { r: 1 } }, Collection: { acquireCount: { r: 1 } } } protocol:op_msg 19ms
2024-08-26T08:01:48.456+0000 I NETWORK  [conn19] end connection 172.16.0.100:55443 (16 connections now open)
2024-08-26T08:01:49.789+0000 I COMMAND  [conn24] command myapp.users command: update { q: { _id: ObjectId("64e9b8c7f123456789abcd03") }, u: { $push: { favoriteProducts: "PROD003" } } } planSummary: IDHACK keysExamined:1 docsExamined:1 nMatched:1 nModified:1 keyUpdates:1 writeConflicts:0 numYields:0 locks:{ Global: { acquireCount: { w: 2 } }, Database: { acquireCount: { w: 2 } }, Collection: { acquireCount: { w: 2 } } } protocol:op_msg 11ms
2024-08-26T08:01:50.012+0000 I NETWORK  [listener] connection accepted from 172.16.0.200:77888 #conn32 (17 connections now open)
2024-08-26T08:01:51.345+0000 I COMMAND  [conn32] command myapp.inventory command: aggregate { pipeline: [{ $match: { restockDate: { $lte: ISODate("2024-08-26T08:01:51.345Z") } } }, { $group: { _id: "$supplier", itemCount: { $sum: 1 } } }] } planSummary: IXSCAN { restockDate: 1 } keysExamined:1000 docsExamined:1000 cursorExhausted:true numYields:7 nreturned:8 reslen:400 locks:{ Global: { acquireCount: { r: 16 } }, Database: { acquireCount: { r: 8 } }, Collection: { acquireCount: { r: 8 } } } protocol:op_msg 145ms
2024-08-26T08:01:52.678+0000 I COMMAND  [conn25] command myapp.reviews command: find { rating: { $lte: 2 } } planSummary: IXSCAN { rating: 1 } keysExamined:200 docsExamined:200 cursorExhausted:true numYields:1 nreturned:50 reslen:25000 locks:{ Global: { acquireCount: { r: 4 } }, Database: { acquireCount: { r: 2 } }, Collection: { acquireCount: { r: 2 } } } protocol:op_msg 38ms
2024-08-26T08:01:53.901+0000 I NETWORK  [conn20] end connection 192.168.1.220:66778 (16 connections now open)
2024-08-26T08:01:54.234+0000 I COMMAND  [conn26] command myapp.products command: find { brand: "TechBrand", availability: "in_stock" } planSummary: IXSCAN { brand: 1, availability: 1 } keysExamined:400 docsExamined:400 cursorExhausted:true numYields:3 nreturned:80 reslen:40000 locks:{ Global: { acquireCount: { r: 8 } }, Database: { acquireCount: { r: 4 } }, Collection: { acquireCount: { r: 4 } } } protocol:op_msg 55ms
2024-08-26T08:01:55.567+0000 I NETWORK  [listener] connection accepted from 198.51.100.100:11122 #conn33 (17 connections now open)
2024-08-26T08:01:56.890+0000 I COMMAND  [conn33] command myapp.sessions command: update { q: { sessionId: "sess_67890" }, u: { $set: { lastActivity: ISODate("2024-08-26T08:01:56.890Z") } } } planSummary: IXSCAN { sessionId: 1 } keysExamined:1 docsExamined:1 nMatched:1 nModified:1 keyUpdates:1 writeConflicts:0 numYields:0 locks:{ Global: { acquireCount: { w: 2 } }, Database: { acquireCount: { w: 2 } }, Collection: { acquireCount: { w: 2 } } } protocol:op_msg 6ms
2024-08-26T08:01:57.123+0000 I COMMAND  [conn9] command myapp.orders command: find { customerId: 789, amount: { $gte: 50 } } planSummary: IXSCAN { customerId: 1, amount: 1 } keysExamined:25 docsExamined:25 cursorExhausted:true numYields:0 nreturned:8 reslen:4000 locks:{ Global: { acquireCount: { r: 2 } }, Database: { acquireCount: { r: 1 } }, Collection: { acquireCount: { r: 1 } } } protocol:op_msg 13ms
2024-08-26T08:01:58.456+0000 I NETWORK  [listener] connection accepted from 203.0.113.75:88999 #conn34 (18 connections now open)
2024-08-26T08:01:59.789+0000 I COMMAND  [conn34] command myapp.logs command: insert { documents: [{ level: "WARN", message: "High CPU usage detected", component: "system", timestamp: ISODate("2024-08-26T08:01:59.789Z") }] } ninserted:1 keyUpdates:0 writeConflicts:0 numYields:0 locks:{ Global: { acquireCount: { w: 2 } }, Database: { acquireCount: { w: 2 } }, Collection: { acquireCount: { w: 2 } } } protocol:op_msg 5ms
2024-08-26T08:02:00.012+0000 I COMMAND  [conn27] command myapp.products command: find { tags: "bestseller" } planSummary: IXSCAN { tags: 1 } keysExamined:100 docsExamined:100 cursorExhausted:true numYields:0 nreturned:30 reslen:15000 locks:{ Global: { acquireCount: { r: 2 } }, Database: { acquireCount: { r: 1 } }, Collection: { acquireCount: { r: 1 } } } protocol:op_msg 16ms
2024-08-26T08:02:01.345+0000 I NETWORK  [conn21] end connection 10.0.0.85:44332 (17 connections now open)
2024-08-26T08:02:02.678+0000 I COMMAND  [conn28] command myapp.analytics command: aggregate { pipeline: [{ $match: { userId: { $exists: true } } }, { $group: { _id: { $hour: "$timestamp" }, activeUsers: { $addToSet: "$userId" } } }, { $project: { hour: "$_id", uniqueUsers: { $size: "$activeUsers" } } }] } planSummary: IXSCAN { userId: 1 } keysExamined:15000 docsExamined:15000 cursorExhausted:true numYields:117 nreturned:24 reslen:1200 locks:{ Global: { acquireCount: { r: 236 } }, Database: { acquireCount: { r: 118 } }, Collection: { acquireCount: { r: 118 } } } protocol:op_msg 2350ms
2024-08-26T08:02:03.901+0000 I NETWORK  [listener] connection accepted from 192.168.1.50:55678 #conn35 (18 connections now open)
2024-08-26T08:02:04.234+0000 I COMMAND  [conn35] command myapp.notifications command: find { userId: 123, createdAt: { $gte: ISODate("2024-08-25T00:00:00Z") } } planSummary: IXSCAN { userId: 1, createdAt: 1 } keysExamined:30 docsExamined:30 cursorExhausted:true numYields:0 nreturned:12 reslen:6000 locks:{ Global: { acquireCount: { r: 2 } }, Database: { acquireCount: { r: 1 } }, Collection: { acquireCount: { r: 1 } } } protocol:op_msg 10ms
2024-08-26T08:02:05.567+0000 I COMMAND  [conn6] command myapp.inventory command: update { q: { sku: "XYZ789" }, u: { $set: { lastUpdated: ISODate("2024-08-26T08:02:05.567Z"), status: "updated" } } } planSummary: IXSCAN { sku: 1 } keysExamined:1 docsExamined:1 nMatched:1 nModified:1 keyUpdates:2 writeConflicts:0 numYields:0 locks:{ Global: { acquireCount: { w: 2 } }, Database: { acquireCount: { w: 2 } }, Collection: { acquireCount: { w: 2 } } } protocol:op_msg 15ms
2024-08-26T08:02:06.890+0000 I NETWORK  [listener] connection accepted from 10.0.0.250:33567 #conn36 (19 connections now open)
2024-08-26T08:02:07.123+0000 I COMMAND  [conn36] command myapp.users command: find { accountType: "business", verified: true } planSummary: IXSCAN { accountType: 1, verified: 1 } keysExamined:300 docsExamined:300 cursorExhausted:true numYields:2 nreturned:60 reslen:30000 locks:{ Global: { acquireCount: { r: 6 } }, Database: { acquireCount: { r: 3 } }, Collection: { acquireCount: { r: 3 } } } protocol:op_msg 42ms
2024-08-26T08:02:08.456+0000 I NETWORK  [conn22] end connection 198.51.100.50:99887 (18 connections now open)
2024-08-26T08:02:09.789+0000 I COMMAND  [conn29] command myapp.orders command: find { shippingMethod: "express", status: { $ne: "delivered" } } planSummary: IXSCAN { shippingMethod: 1, status: 1 } keysExamined:150 docsExamined:150 cursorExhausted:true numYields:1 nreturned:25 reslen:12500 locks:{ Global: { acquireCount: { r: 4 } }, Database: { acquireCount: { r: 2 } }, Collection: { acquireCount: { r: 2 } } } protocol:op_msg 28ms
2024-08-26T08:02:10.012+0000 I COMMAND  [conn30] command myapp.products command: aggregate { pipeline: [{ $match: { category: "clothing" } }, { $group: { _id: "$color", count: { $sum: 1 }, avgPrice: { $avg: "$price" } } }, { $sort: { count: -1 } }] } planSummary: IXSCAN { category: 1 } keysExamined:3000 docsExamined:3000 cursorExhausted:true numYields:23 nreturned:15 reslen:750 locks:{ Global: { acquireCount: { r: 48 } }, Database: { acquireCount: { r: 24 } }, Collection: { acquireCount: { r: 24 } } } protocol:op_msg 410ms
2024-08-26T08:02:11.345+0000 I NETWORK  [listener] connection accepted from 172.16.0.250:66444 #conn37 (19 connections now open)
2024-08-26T08:02:12.678+0000 I COMMAND  [conn37] command myapp.reviews command: find { moderationStatus: "pending" } planSummary: IXSCAN { moderationStatus: 1 } keysExamined:80 docsExamined:80 cursorExhausted:true numYields:0 nreturned:20 reslen:10000 locks:{ Global: { acquireCount: { r: 2 } }, Database: { acquireCount: { r: 1 } }, Collection: { acquireCount: { r: 1 } } } protocol:op_msg:14ms
2024-08-26T08:02:13.901+0000 I COMMAND  [conn23] command myapp.analytics command: find { eventType: "conversion", source: "email" } planSummary: IXSCAN { eventType: 1, source: 1 } keysExamined:200 docsExamined:200 cursorExhausted:true numYields:1 nreturned:40 reslen:20000 locks:{ Global: { acquireCount: { r: 4 } }, Database: { acquireCount: { r: 2 } }, Collection: { acquireCount: { r: 2 } } } protocol:op_msg 35ms
2024-08-26T08:02:14.234+0000 I NETWORK  [conn24] end connection 203.0.113.200:11223 (18 connections now open)
2024-08-26T08:02:15.567+0000 I COMMAND  [conn31] command myapp.sessions command: find { active: true } planSummary: IXSCAN { active: 1 } keysExamined:400 docsExamined:400 cursorExhausted:true numYields:3 nreturned:200 reslen:100000 locks:{ Global: { acquireCount: { r: 8 } }, Database: { acquireCount: { r: 4 } }, Collection: { acquireCount: { r: 4 } } } protocol:op_msg 72ms
2024-08-26T08:02:16.890+0000 I NETWORK  [listener] connection accepted from 198.51.100.125:77766 #conn38 (19 connections now open)
2024-08-26T08:02:17.123+0000 I COMMAND  [conn38] command myapp.logs command: find { component: "payment", level: "ERROR" } planSummary: IXSCAN { component: 1, level: 1 } keysExamined:15 docsExamined:15 cursorExhausted:true numYields:0 nreturned:15 reslen:7500 locks:{ Global: { acquireCount: { r: 2 } }, Database: { acquireCount: { r: 1 } }, Collection: { acquireCount: { r: 1 } } } protocol:op_msg 7ms
2024-08-26T08:02:18.456+0000 I COMMAND  [conn12] command myapp.users command: find { twoFactorEnabled: true, role: { $ne: "guest" } } planSummary: IXSCAN { twoFactorEnabled: 1, role: 1 } keysExamined:250 docsExamined:250 cursorExhausted:true numYields:1 nreturned:50 reslen:25000 locks:{ Global: { acquireCount: { r: 4 } }, Database: { acquireCount: { r: 2 } }, Collection: { acquireCount: { r: 2 } } } protocol:op_msg 39ms
2024-08-26T08:02:19.789+0000 I NETWORK  [conn25] end connection 192.168.1.250:88990 (18 connections now open)
2024-08-26T08:02:20.012+0000 I COMMAND  [conn32] command myapp.products command: find { weight: { $gte: 1, $lte: 5 }, category: "electronics" } planSummary: IXSCAN { weight: 1, category: 1 } keysExamined:500 docsExamined:500 cursorExhausted:true numYields:3 nreturned:100 reslen:50000 locks:{ Global: { acquireCount: { r: 8 } }, Database: { acquireCount: { r: 4 } }, Collection: { acquireCount: { r: 4 } } } protocol:op_msg 60ms
2024-08-26T08:02:21.345+0000 I NETWORK  [listener] connection accepted from 203.0.113.125:99444 #conn39 (19 connections now open)
2024-08-26T08:02:22.678+0000 I COMMAND  [conn39] command myapp.inventory command: find { restockAlert: true } planSummary: IXSCAN { restockAlert: 1 } keysExamined:100 docsExamined:100 cursorExhausted:true numYields:0 nreturned:25 reslen:12500 locks:{ Global: { acquireCount: { r: 2 } }, Database: { acquireCount: { r: 1 } }, Collection: { acquireCount: { r: 1 } } } protocol:op_msg 18ms
2024-08-26T08:02:23.901+0000 I COMMAND  [conn26] command myapp.orders command: update { q: { trackingNumber: "TRK123456" }, u: { $set: { deliveredAt: ISODate("2024-08-26T08:02:23.901Z"), status: "delivered" } } } planSummary: IXSCAN { trackingNumber: 1 } keysExamined:1 docsExamined:1 nMatched:1 nModified:1 keyUpdates:2 writeConflicts:0 numYields:0 locks:{ Global: { acquireCount: { w: 2 } }, Database: { acquireCount: { w: 2 } }, Collection: { acquireCount: { w: 2 } } } protocol:op_msg 13ms
2024-08-26T08:02:24.234+0000 I NETWORK  [listener] connection accepted from 192.168.1.100:88777 #conn40 (20 connections now open)
2024-08-26T08:02:25.567+0000 I COMMAND  [conn40] command myapp.notifications command: aggregate { pipeline: [{ $match: { userId: 456 } }, { $group: { _id: "$type", count: { $sum: 1 }, latest: { $max: "$createdAt" } } }] } planSummary: IXSCAN { userId: 1 } keysExamined:50 docsExamined:50 cursorExhausted:true numYields:0 nreturned:5 reslen:250 locks:{ Global: { acquireCount: { r: 2 } }, Database: { acquireCount: { r: 1 } }, Collection: { acquireCount: { r: 1 } } } protocol:op_msg 21ms
2024-08-26T08:02:26.890+0000 I COMMAND  [conn33] command myapp.reviews command: find { helpfulVotes: { $gte: 10 } } planSummary: IXSCAN { helpfulVotes: 1 } keysExamined:300 docsExamined:300 cursorExhausted:true numYields:2 nreturned:75 reslen:37500 locks:{ Global: { acquireCount: { r: 6 } }, Database: { acquireCount: { r: 3 } }, Collection: { acquireCount: { r: 3 } } } protocol:op_msg 48ms
2024-08-26T08:02:27.123+0000 I NETWORK  [conn27] end connection 172.16.0.150:33444 (19 connections now open)
2024-08-26T08:02:28.456+0000 I COMMAND  [conn9] command myapp.analytics command: aggregate { pipeline: [{ $match: { eventType: "page_view" } }, { $group: { _id: "$page", views: { $sum: 1 } } }, { $sort: { views: -1 } }, { $limit: 20 }] } planSummary: IXSCAN { eventType: 1 } keysExamined:20000 docsExamined:20000 cursorExhausted:true numYields:156 nreturned:20 reslen:1000 locks:{ Global: { acquireCount: { r: 314 } }, Database: { acquireCount: { r: 157 } }, Collection: { acquireCount: { r: 157 } } } protocol:op_msg 3100ms
2024-08-26T08:02:29.789+0000 I NETWORK  [listener] connection accepted from 10.0.0.75:44433 #conn41 (20 connections now open)
2024-08-26T08:02:30.012+0000 I COMMAND  [conn41] command myapp.users command: find { subscription.nextBillingDate: { $lte: ISODate("2024-08-30T00:00:00Z") } } planSummary: IXSCAN { subscription.nextBillingDate: 1 } keysExamined:200 docsExamined:200 cursorExhausted:true numYields:1 nreturned:45 reslen:22500 locks:{ Global: { acquireCount: { r: 4 } }, Database: { acquireCount: { r: 2 } }, Collection: { acquireCount: { r: 2 } } } protocol:op_msg 31ms
2024-08-26T08:02:31.345+0000 I COMMAND  [conn34] command myapp.products command: find { warranty: { $exists: true }, price: { $gte: 200 } } planSummary: IXSCAN { warranty: 1, price: 1 } keysExamined:800 docsExamined:800 cursorExhausted:true numYields:6 nreturned:160 reslen:80000 locks:{ Global: { acquireCount: { r: 14 } }, Database: { acquireCount: { r: 7 } }, Collection: { acquireCount: { r: 7 } } } protocol:op_msg 98ms
2024-08-26T08:02:32.678+0000 I NETWORK  [conn28] end connection 198.51.100.75:22111 (19 connections now open)
2024-08-26T08:02:33.901+0000 I COMMAND  [conn35] command myapp.orders command: find { paymentMethod: "credit_card", amount: { $gte: 100 } } planSummary: IXSCAN { paymentMethod: 1, amount: 1 } keysExamined:300 docsExamined:300 cursorExhausted:true numYields:2 nreturned:60 reslen:30000 locks:{ Global: { acquireCount: { r: 6 } }, Database: { acquireCount: { r: 3 } }, Collection: { acquireCount: { r: 3 } } } protocol:op_msg 44ms
2024-08-26T08:02:34.234+0000 I NETWORK  [listener] connection accepted from 172.16.0.80:55666 #conn42 (20 connections now open)
2024-08-26T08:02:35.567+0000 I COMMAND  [conn42] command myapp.logs command: find { level: "DEBUG", component: "database" } planSummary: IXSCAN { level: 1, component: 1 } keysExamined:500 docsExamined:500 cursorExhausted:true numYields:3 nreturned:100 reslen:50000 locks:{ Global: { acquireCount: { r: 8 } }, Database: { acquireCount: { r: 4 } }, Collection: { acquireCount: { r: 4 } } } protocol:op_msg 67ms
2024-08-26T08:02:36.890+0000 I COMMAND  [conn29] command myapp.inventory command: aggregate { pipeline: [{ $match: { category: "home" } }, { $group: { _id: "$brand", totalValue: { $sum: { $multiply: ["$quantity", "$cost"] } } } }] } planSummary: IXSCAN { category: 1 } keysExamined:2000 docsExamined:2000 cursorExhausted:true numYields:15 nreturned:12 reslen:600 locks:{ Global: { acquireCount: { r: 32 } }, Database: { acquireCount: { r: 16 } }, Collection: { acquireCount: { r: 16 } } } protocol:op_msg 280ms
2024-08-26T08:02:37.123+0000 I NETWORK  [conn30] end connection 192.168.1.10:99888 (19 connections now open)
2024-08-26T08:02:38.456+0000 I COMMAND  [conn36] command myapp.sessions command: find { userId: 789, device: "mobile" } planSummary: IXSCAN { userId: 1, device: 1 } keysExamined:10 docsExamined:10 cursorExhausted:true numYields:0 nreturned:3 reslen:1500 locks:{ Global: { acquireCount: { r: 2 } }, Database: { acquireCount: { r: 1 } }, Collection: { acquireCount: { r: 1 } } } protocol:op_msg 5ms
2024-08-26T08:02:39.789+0000 I NETWORK  [listener] connection accepted from 198.51.100.150:11333 #conn43 (20 connections now open)
2024-08-26T08:02:40.012+0000 I COMMAND  [conn43] command myapp.products command: find { reviews: { $exists: true }, averageRating: { $gte: 4.5 } } planSummary: IXSCAN { reviews: 1, averageRating: 1 } keysExamined:400 docsExamined:400 cursorExhausted:true numYields:3 nreturned:80 reslen:40000 locks:{ Global: { acquireCount: { r: 8 } }, Database: { acquireCount: { r: 4 } }, Collection: { acquireCount: { r: 4 } } } protocol:op_msg 53ms
2024-08-26T08:02:41.345+0000 I COMMAND  [conn31] command myapp.analytics command: find { conversionType: "purchase", value: { $gte: 50 } } planSummary: IXSCAN { conversionType: 1, value: 1 } keysExamined:150 docsExamined:150 cursorExhausted:true numYields:1 nreturned:30 reslen:15000 locks:{ Global: { acquireCount: { r: 4 } }, Database: { acquireCount: { r: 2 } }, Collection: { acquireCount: { r: 2 } } } protocol:op_msg 26ms
2024-08-26T08:02:42.678+0000 I NETWORK  [conn32] end connection 172.16.0.200:77888 (19 connections now open)
2024-08-26T08:02:43.901+0000 I COMMAND  [conn37] command myapp.notifications command: update { q: { type: "promotional" }, u: { $set: { sent: true, sentAt: ISODate("2024-08-26T08:02:43.901Z") } } } multi:true planSummary: IXSCAN { type: 1 } keysExamined:100 docsExamined:100 nMatched:50 nModified:50 keyUpdates:100 writeConflicts:0 numYields:0 locks:{ Global: { acquireCount: { w: 2 } }, Database: { acquireCount: { w: 2 } }, Collection: { acquireCount: { w: 2 } } } protocol:op_msg 45ms
2024-08-26T08:02:44.234+0000 I NETWORK  [listener] connection accepted from 203.0.113.175:22244 #conn44 (20 connections now open)
2024-08-26T08:02:45.567+0000 I COMMAND  [conn44] command myapp.users command: find { lastOrderDate: { $gte: ISODate("2024-08-01T00:00:00Z") } } planSummary: IXSCAN { lastOrderDate: 1 } keysExamined:1000 docsExamined:1000 cursorExhausted:true numYields:7 nreturned:200 reslen:100000 locks:{ Global: { acquireCount: { r: 16 } }, Database: { acquireCount: { r: 8 } }, Collection: { acquireCount: { r: 8 } } } protocol:op_msg 155ms
2024-08-26T08:02:46.890+0000 I COMMAND  [conn38] command myapp.orders command: aggregate { pipeline: [{ $match: { shippingCountry: "US" } }, { $group: { _id: "$shippingState", orderCount: { $sum: 1 }, totalAmount: { $sum: "$amount" } } }] } planSummary: IXSCAN { shippingCountry: 1 } keysExamined:8000 docsExamined:8000 cursorExhausted:true numYields:62 nreturned:50 reslen:2500 locks:{ Global: { acquireCount: { r: 126 } }, Database: { acquireCount: { r: 63 } }, Collection: { acquireCount: { r: 63 } } } protocol:op_msg 1450ms
2024-08-26T08:02:47.123+0000 I NETWORK  [conn23] end connection 172.16.0.125:77665 (19 connections now open)
2024-08-26T08:02:48.456+0000 I COMMAND  [conn12] command myapp.reviews command: find { verified: true, rating: 5 } planSummary: IXSCAN { verified: 1, rating: 1 } keysExamined:300 docsExamined:300 cursorExhausted:true numYields:2 nreturned:150 reslen:75000 locks:{ Global: { acquireCount: { r: 6 } }, Database: { acquireCount: { r: 3 } }, Collection: { acquireCount: { r: 3 } } } protocol:op_msg 62ms
2024-08-26T08:02:49.789+0000 I NETWORK  [listener] connection accepted from 192.168.1.125:66555 #conn45 (20 connections now open)
2024-08-26T08:02:50.012+0000 I COMMAND  [conn45] command myapp.products command: find { discontinued: false, stockLevel: { $lt: 20 } } planSummary: IXSCAN { discontinued: 1, stockLevel: 1 } keysExamined:200 docsExamined:200 cursorExhausted:true numYields:1 nreturned:40 reslen:20000 locks:{ Global: { acquireCount: { r: 4 } }, Database: { acquireCount: { r: 2 } }, Collection: { acquireCount: { r: 2 } } } protocol:op_msg 33ms
2024-08-26T08:02:51.345+0000 I COMMAND  [conn39] command myapp.analytics command: aggregate { pipeline: [{ $match: { timestamp: { $gte: ISODate("2024-08-26T00:00:00Z") } } }, { $group: { _id: { $dateToString: { format: "%H", date: "$timestamp" } }, events: { $sum: 1 } } }] } planSummary: IXSCAN { timestamp: 1 } keysExamined:5000 docsExamined:5000 cursorExhausted:true numYields:39 nreturned:8 reslen:400 locks:{ Global: { acquireCount: { r: 80 } }, Database: { acquireCount: { r: 40 } }, Collection: { acquireCount: { r: 40 } } } protocol:op_msg 620ms
2024-08-26T08:02:52.678+0000 I NETWORK  [conn26] end connection 10.0.0.120:55544 (19 connections now open)
2024-08-26T08:02:53.901+0000 I COMMAND  [conn40] command myapp.sessions command: find { expiresAt: { $lt: ISODate("2024-08-26T08:02:53.901Z") } } planSummary: IXSCAN { expiresAt: 1 } keysExamined:100 docsExamined:100 cursorExhausted:true numYields:0 nreturned:25 reslen:12500 locks:{ Global: { acquireCount: { r: 2 } }, Database: { acquireCount: { r: 1 } }, Collection: { acquireCount: { r: 1 } } } protocol:op_msg 19ms
2024-08-26T08:02:54.234+0000 I NETWORK  [listener] connection accepted from 10.0.0.150:77889 #conn46 (20 connections now open)
2024-08-26T08:02:55.567+0000 I COMMAND  [conn46] command myapp.logs command: find { userId: 123, level: { $in: ["WARN", "ERROR"] } } planSummary: IXSCAN { userId: 1, level: 1 } keysExamined:50 docsExamined:50 cursorExhausted:true numYields:0 nreturned:15 reslen:7500 locks:{ Global: { acquireCount: { r: 2 } }, Database: { acquireCount: { r: 1 } }, Collection: { acquireCount: { r: 1 } } } protocol:op_msg 11ms
2024-08-26T08:02:56.890+0000 I COMMAND  [conn33] command myapp.inventory command: find { supplier: "LocalSupply", category: "food" } planSummary: IXSCAN { supplier: 1, category: 1 } keysExamined:400 docsExamined:400 cursorExhausted:true numYields:3 nreturned:80 reslen:40000 locks:{ Global: { acquireCount: { r: 8 } }, Database: { acquireCount: { r: 4 } }, Collection: { acquireCount: { r: 4 } } } protocol:op_msg 56ms
2024-08-26T08:02:57.123+0000 I NETWORK  [conn34] end connection 203.0.113.75:88999 (19 connections now open)
2024-08-26T08:02:58.456+0000 I COMMAND  [conn41] command myapp.orders command: find { promoCode: { $exists: true }, discount: { $gte: 0.1 } } planSummary: IXSCAN { promoCode: 1, discount: 1 } keysExamined:250 docsExamined:250 cursorExhausted:true numYields:1 nreturned:50 reslen:25000 locks:{ Global: { acquireCount: { r: 4 } }, Database: { acquireCount: { r: 2 } }, Collection: { acquireCount: { r: 2 } } } protocol:op_msg 37ms
2024-08-26T08:02:59.789+0000 I NETWORK  [listener] connection accepted from 172.16.0.175:44556 #conn47 (20 connections now open)
2024-08-26T08:03:00.012+0000 I COMMAND  [conn47] command myapp.users command: aggregate { pipeline: [{ $match: { age: { $gte: 18, $lte: 65 } } }, { $group: { _id: { $floor: { $divide: ["$age", 10] } }, count: { $sum: 1 } } }] } planSummary: IXSCAN { age: 1 } keysExamined:5000 docsExamined:5000 cursorExhausted:true numYields:39 nreturned:5 reslen:250 locks:{ Global: { acquireCount: { r: 80 } }, Database: { acquireCount: { r: 40 } }, Collection: { acquireCount: { r: 40 } } } protocol:op_msg 780ms
2024-08-26T08:03:01.345+0000 I COMMAND  [conn35] command myapp.products command: find { brand: "EcoFriendly", certifications: "organic" } planSummary: IXSCAN { brand: 1, certifications: 1 } keysExamined:100 docsExamined:100 cursorExhausted:true numYields:0 nreturned:25 reslen:12500 locks:{ Global: { acquireCount: { r: 2 } }, Database: { acquireCount: { r: 1 } }, Collection: { acquireCount: { r: 1 } } } protocol:op_msg 16ms
